time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1708937514.81941009,0.03884902,54605,0.00080425,0.00000000,0,0.00000076,70094,70173,268,0.00446993
1708937514.91950703,0.03967083,52496,0.00058832,0.00000000,0,0.00000079,70173,70302,247,0.00543899
1708937515.01943374,0.04161269,53170,0.00132049,0.00000000,0,0.00000082,70302,70438,276,0.00701828
1708937515.11947989,0.03673470,46281,0.00063439,0.00000000,0,0.00000105,70438,70614,290,0.00279583
1708937515.21956921,0.06256598,51202,0.00239226,0.00000000,0,0.00000093,70614,70545,353,0.00885173
1708937515.31949806,0.04921787,50831,0.00155226,0.00000000,0,0.00000073,70545,70634,319,0.00585740
1708937515.41941524,0.04984673,51302,0.00129052,0.00000000,0,0.00000100,70634,70485,333,0.00312845
1708937515.51956129,0.03855243,51367,0.00093992,0.00000000,0,0.00000085,70485,70699,364,0.00803711
1708937515.61949015,0.04602939,51487,0.00108814,0.00000000,0,0.00000066,70699,70851,372,0.00913309
1708937515.71946907,0.03767319,52621,0.00079606,0.00000000,0,0.00000069,70851,70974,266,0.00246932
1708937515.81949615,0.03962265,49871,0.00196449,0.00000000,0,0.00000065,70974,70935,256,0.00816475
1708937515.91945362,0.03659187,52885,0.00089726,0.00000000,0,0.00000096,70935,71058,303,0.00468880
1708937516.01955819,0.04172707,52667,0.00174014,0.00000000,0,0.00000069,71058,70887,281,0.00953842
1708937516.11952138,0.04213266,50416,0.00103488,0.00000000,0,0.00000114,70887,70919,238,0.00273588
1708937516.21956730,0.04288583,51757,0.00059990,0.00000000,0,0.00000121,70919,71006,233,0.00658201
1708937516.31960249,0.03424102,50708,0.00072480,0.00000000,0,0.00000127,71006,71148,202,0.00454714
1708937516.41950607,0.03851730,50997,0.00065630,0.00000000,0,0.00000078,71148,71242,259,0.00558554
1708937516.51949739,0.03712780,49555,0.00104727,0.00000000,0,0.00000089,71242,71247,231,0.00684902
1708937516.61956072,0.03618569,52815,0.00157032,0.00000000,0,0.00000075,71247,71340,354,0.00407605
1708937516.71953368,0.04257640,51930,0.00086726,0.00000000,0,0.00000174,71340,71408,313,0.00536498
1708937516.81944847,0.04346686,50694,0.00074791,0.00000000,0,0.00000108,71408,71557,238,0.00962901
1708937516.91959214,0.04281201,52161,0.00092211,0.00000000,0,0.00000077,71557,71686,257,0.00212669
